Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
04/11/2010,1,48,12240,255,255,255
11/11/2010,6,1380,352236,260,251,260
16/11/2010,3,358,89890,255,250,250
18/11/2010,11,2290,555990,250,241,245
21/11/2010,4,413,100885,249,241,249
22/11/2010,2,120,30450,254,253,254
25/11/2010,1,16,4048,253,253,253
28/11/2010,8,4501,1081644,248,240,244
29/11/2010,1,30,7440,248,248,248
01/12/2010,8,980,233626,252,235,235
05/12/2010,9,1655,366794,231,216,220
06/12/2010,11,1887,409697,221,212,221
07/12/2010,7,4227,888282,218,210,212
08/12/2010,7,443,98272,224,216,224
09/12/2010,8,3629,823138,230,218,229
12/12/2010,9,3039,667685,225,215,215
13/12/2010,2,470,99920,214,212,212
14/12/2010,1,110,23210,211,211,211
15/12/2010,7,3852,816390,213,209,211
16/12/2010,4,302,63805,214,210,211
19/12/2010,2,2892,615318,214,211,214
20/12/2010,3,313,66903,215,211,215
22/12/2010,6,4238,901830,219,211,218
23/12/2010,7,1200,270400,226,222,226
26/12/2010,8,751,178092,242,230,242
27/12/2010,6,545,129247,243,231,231
28/12/2010,1,405,92340,228,228,228
29/12/2010,9,1431,318031,227,220,220
02/01/2011,2,260,56160,216,216,216
03/01/2011,9,1100,234530,216,212,213
04/01/2011,19,6906,1461346,216,210,213
05/01/2011,4,2710,572040,216,210,216
06/01/2011,8,104,22880,220,220,220
09/01/2011,3,140,31200,224,220,224
10/01/2011,2,497,109880,222,221,221
11/01/2011,4,508,112318,227,220,227
12/01/2011,2,188,42300,225,225,225
13/01/2011,1,200,44800,224,224,224
16/01/2011,5,346,80457,236,228,236
17/01/2011,5,1980,464750,236,232,235
18/01/2011,1,100,23700,237,237,237
19/01/2011,5,265,61380,235,230,230
20/01/2011,4,1178,266620,230,226,230
23/01/2011,4,898,214500,240,230,240
24/01/2011,4,180,43600,248,240,248
31/01/2011,2,341,83568,248,244,248
01/02/2011,5,1308,316292,250,237,237
02/02/2011,3,307,72870,240,236,236
06/02/2011,12,1696,407076,244,236,239
07/02/2011,6,450,108150,247,238,238
08/02/2011,4,583,135709,237,231,235
10/02/2011,9,2747,644253,236,231,232
13/02/2011,3,232,54152,236,233,233
14/02/2011,4,3752,873276,235,231,231
15/02/2011,4,2911,667452,232,228,232
17/02/2011,2,152,35972,237,236,237
20/02/2011,7,536,123978,236,228,232
21/02/2011,8,3481,807692,233,232,232
22/02/2011,4,511,117434,234,228,230
23/02/2011,11,891,201134,230,223,229
27/02/2011,5,2152,484592,229,225,227
28/02/2011,3,3681,828065,225,221,221
01/03/2011,1,29,6467,223,223,223
03/03/2011,2,43,9738,227,226,226
07/03/2011,2,63,14106,226,222,226
09/03/2011,3,375,84088,228,224,228
10/03/2011,3,1300,302000,236,232,232
13/03/2011,7,1291,291264,228,224,228
14/03/2011,1,83,18592,224,224,224
15/03/2011,13,1229,274666,228,216,216
16/03/2011,8,1913,412412,218,214,218
17/03/2011,2,417,90807,218,215,218
21/03/2011,4,1211,257023,217,210,217
22/03/2011,7,348,75692,218,217,217
24/03/2011,7,582,127193,221,217,217
27/03/2011,6,1569,331219,214,209,212
28/03/2011,9,1976,409086,211,206,206
29/03/2011,14,5110,1029780,205,200,200
30/03/2011,7,527,107551,207,201,207
31/03/2011,3,382,80962,219,211,219
04/04/2011,2,677,144163,215,211,211
05/04/2011,1,41,8651,211,211,211
10/04/2011,4,676,145930,217,211,217
11/04/2011,3,264,55872,214,210,210
17/04/2011,6,804,165006,208,203,204
19/04/2011,4,207,42120,204,200,204
20/04/2011,1,24,4992,208,208,208
21/04/2011,3,572,115260,205,201,201
25/04/2011,2,72,14760,205,205,205
26/04/2011,1,78,15678,201,201,201
27/04/2011,5,334,67760,204,200,200
28/04/2011,3,87,18039,211,204,211
02/05/2011,11,1361,270995,208,193,193
