Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2013-08-14,3,210.00,12900.00,62.00,60.00,62.00
2013-08-18,2,160.00,10140.00,64.00,63.00,64.00
2013-08-20,1,900.00,56700.00,63.00,63.00,63.00
2013-08-27,4,40834.00,2513213.00,62.00,60.00,60.00
2013-09-10,1,75.00,4575.00,61.00,61.00,61.00
2013-09-17,4,1011.00,61972.00,62.00,60.00,62.00
2013-09-22,1,16.00,1008.00,63.00,63.00,63.00
2013-10-07,4,190.00,11780.00,62.00,62.00,62.00
2013-10-08,4,363.00,22356.00,63.00,60.00,60.00
2013-10-10,1,450.00,27000.00,60.00,60.00,60.00
2013-10-21,1,6585.00,401685.00,61.00,61.00,61.00
2013-10-29,1,11.00,682.00,62.00,62.00,62.00
2013-11-26,3,99.00,6138.00,62.00,62.00,62.00
2013-11-27,1,253.00,15939.00,63.00,63.00,63.00
2013-12-09,4,40.00,2700.00,69.00,66.00,69.00
2013-12-10,6,167.00,11840.00,75.00,70.00,75.00
2013-12-11,2,150.00,11500.00,77.00,76.00,77.00
2013-12-12,9,422.00,35238.00,84.00,78.00,84.00
2013-12-18,2,100.00,8550.00,86.00,85.00,86.00
2013-12-19,1,10.00,870.00,87.00,87.00,87.00
2013-12-24,7,160.00,14130.00,93.00,87.00,93.00
2013-12-26,1,127.00,11938.00,94.00,94.00,94.00
2013-12-31,7,2022.00,191110.00,97.00,94.00,97.00
2014-01-06,1,1040.00,101920.00,98.00,98.00,98.00
2014-01-09,1,1000.00,97000.00,97.00,97.00,97.00
2014-01-12,1,100.00,9600.00,96.00,96.00,96.00
2014-01-14,2,976.00,93696.00,96.00,96.00,96.00
2014-01-20,1,1000.00,97000.00,97.00,97.00,97.00
2014-01-21,1,10.00,960.00,96.00,96.00,96.00
2014-01-22,8,2718.00,264715.00,99.00,95.00,99.00
2014-01-23,1,198.00,19800.00,100.00,100.00,100.00
2014-01-26,1,2307.00,226086.00,98.00,98.00,98.00
