Date,No.of Transaction,Total Share,Amount,Max.price,Min.price,Closing Price
2014-12-22,1,500.00,69000.00,138.00,138.00,138.00
2015-01-06,2,420.00,57330.00,137.00,136.00,137.00
2015-01-12,1,110.00,14850.00,135.00,135.00,135.00
2015-01-18,2,1010.00,138390.00,139.00,137.00,139.00
2015-01-20,1,10.00,1450.00,145.00,145.00,145.00
2015-01-29,10,4800.00,749600.00,159.00,147.00,159.00
2015-02-01,4,1410.00,229160.00,165.00,161.00,165.00
2015-02-02,1,500.00,84000.00,168.00,168.00,168.00
2015-02-03,2,600.00,102900.00,174.00,171.00,174.00
2015-02-04,1,250.00,44250.00,177.00,177.00,177.00
2015-02-05,9,1400.00,250950.00,183.00,174.00,180.00
2015-02-08,3,200.00,37350.00,189.00,183.00,189.00
2015-02-10,2,70.00,13500.00,195.00,192.00,195.00
2015-02-18,4,60.00,11520.00,192.00,192.00,192.00
2015-02-25,1,10.00,1830.00,183.00,183.00,183.00
2015-03-09,9,1080.00,187980.00,180.00,165.00,165.00
2015-03-10,2,1080.00,176700.00,165.00,162.00,162.00
2015-03-11,1,500.00,80000.00,160.00,160.00,160.00
2015-03-15,2,100.00,15700.00,157.00,157.00,157.00
2015-03-22,3,640.00,97730.00,155.00,152.00,152.00
2015-03-23,12,4450.00,663050.00,150.00,147.00,147.00
2015-03-24,4,1300.00,197400.00,157.00,149.00,157.00
2015-03-25,3,1470.00,222530.00,154.00,149.00,149.00
2015-03-26,1,500.00,75000.00,150.00,150.00,150.00
